scheduled_date,player_name,position,team_market,rec_rec,rec_yds,targets,grades_pass_route,pff_snaps,avg_depth_of_target,drop_rate,route_rate,slot_rate,wide_rate,yards_per_reception,yprr
2024-09-07,Konata Mumpfield,WR,Pittsburgh,1,15,83.0,70.7,660.0,13.1,7.1,94.0,37.4,62.2,15.6,1.87
2024-09-07,Jamoi Mayes,WR,Cincinnati,1,52,51.0,57.0,587.0,11.7,9.4,95.7,10.9,89.1,12.0,1.04
2024-09-07,Raphael Williams Jr.,WR,Pittsburgh,1,12,80.0,52.3,830.0,14.3,11.9,92.3,89.5,8.9,11.5,0.82
2024-09-07,Xzavier Henderson,WR,Cincinnati,1,34,99.0,69.4,674.0,12.0,12.1,95.3,8.0,92.0,12.7,2.01
2024-09-07,Joe Royer,TE,Cincinnati,1,32,75.0,68.7,657.0,8.3,3.8,87.6,49.8,1.5,10.4,1.48
2024-09-07,Tony Johnson,WR,Cincinnati,1,5,68.0,66.7,560.0,8.4,4.0,95.9,77.4,22.6,9.3,1.37
2024-09-07,Desmond Reid,RB,Pittsburgh,1,4,70.0,76.3,608.0,2.3,5.6,83.2,11.6,6.2,11.4,1.8
2024-09-07,Xzavier Henderson,WR,Cincinnati,1,15,99.0,69.4,674.0,12.0,12.1,95.3,8.0,92.0,12.7,2.01
2024-09-07,Xzavier Henderson,WR,Cincinnati,1,7,99.0,69.4,674.0,12.0,12.1,95.3,8.0,92.0,12.7,2.01
2024-09-07,Desmond Reid,RB,Pittsburgh,1,2,70.0,76.3,608.0,2.3,5.6,83.2,11.6,6.2,11.4,1.8
2024-09-07,Desmond Reid,RB,Pittsburgh,1,20,70.0,76.3,608.0,2.3,5.6,83.2,11.6,6.2,11.4,1.8
2024-09-07,Konata Mumpfield,WR,Pittsburgh,1,25,83.0,70.7,660.0,13.1,7.1,94.0,37.4,62.2,15.6,1.87
2024-09-07,Tony Johnson,WR,Cincinnati,1,16,68.0,66.7,560.0,8.4,4.0,95.9,77.4,22.6,9.3,1.37
2024-09-07,Tony Johnson,WR,Cincinnati,1,3,68.0,66.7,560.0,8.4,4.0,95.9,77.4,22.6,9.3,1.37
2024-09-07,Xzavier Henderson,WR,Cincinnati,1,13,99.0,69.4,674.0,12.0,12.1,95.3,8.0,92.0,12.7,2.01
2024-09-07,Joe Royer,TE,Cincinnati,1,16,75.0,68.7,657.0,8.3,3.8,87.6,49.8,1.5,10.4,1.48
2024-09-07,Konata Mumpfield,WR,Pittsburgh,1,11,83.0,70.7,660.0,13.1,7.1,94.0,37.4,62.2,15.6,1.87
2024-09-07,Desmond Reid,RB,Pittsburgh,1,16,70.0,76.3,608.0,2.3,5.6,83.2,11.6,6.2,11.4,1.8
2024-09-07,Konata Mumpfield,WR,Pittsburgh,1,38,83.0,70.7,660.0,13.1,7.1,94.0,37.4,62.2,15.6,1.87
2024-09-07,Xzavier Henderson,WR,Cincinnati,1,11,99.0,69.4,674.0,12.0,12.1,95.3,8.0,92.0,12.7,2.01
2024-09-07,Gavin Bartholomew,TE,Pittsburgh,1,12,51.0,62.1,680.0,4.8,7.3,90.6,23.3,25.7,8.5,0.8
2024-09-07,Raphael Williams Jr.,WR,Pittsburgh,1,14,80.0,52.3,830.0,14.3,11.9,92.3,89.5,8.9,11.5,0.82
2024-09-07,Desmond Reid,RB,Pittsburgh,1,56,70.0,76.3,608.0,2.3,5.6,83.2,11.6,6.2,11.4,1.8
2024-09-07,Jamoi Mayes,WR,Cincinnati,1,12,51.0,57.0,587.0,11.7,9.4,95.7,10.9,89.1,12.0,1.04
2024-09-07,Desmond Reid,RB,Pittsburgh,1,8,70.0,76.3,608.0,2.3,5.6,83.2,11.6,6.2,11.4,1.8
2024-09-07,Konata Mumpfield,WR,Pittsburgh,1,34,83.0,70.7,660.0,13.1,7.1,94.0,37.4,62.2,15.6,1.87
